row_type,dataset,network_seed,pair_index,item_1,item_2,learned,mean_accuracy,beta_alpha,beta_beta,beta_class,subject_id,pair,pair_accuracy,threshold_percent,proportion,lower,upper,analysis_subjects
figure_2b_subject,human,,,,,,,,,,27,C-D,0.8,,,,,
figure_2b_subject,human,,,,,,,,,,28,C-D,0.2,,,,,
figure_2b_subject,human,,,,,,,,,,29,C-D,1,,,,,
figure_2b_subject,human,,,,,,,,,,30,C-D,0.8,,,,,
figure_2b_subject,human,,,,,,,,,,31,C-D,0.8,,,,,
figure_2b_subject,human,,,,,,,,,,32,C-D,1,,,,,
figure_2b_subject,human,,,,,,,,,,33,C-D,0.4,,,,,
figure_2b_subject,human,,,,,,,,,,34,C-D,0.9,,,,,
figure_2b_subject,human,,,,,,,,,,35,C-D,0.7,,,,,
figure_2b_subject,human,,,,,,,,,,36,C-D,1,,,,,
figure_2b_subject,human,,,,,,,,,,37,C-D,0,,,,,
figure_2b_subject,human,,,,,,,,,,38,C-D,1,,,,,
figure_2b_subject,human,,,,,,,,,,39,C-D,0.2,,,,,
figure_2b_subject,human,,,,,,,,,,40,C-D,0.9,,,,,
figure_2b_subject,human,,,,,,,,,,41,C-D,0.9,,,,,
figure_2b_subject,human,,,,,,,,,,42,C-D,0,,,,,
figure_2b_subject,human,,,,,,,,,,43,C-D,0.9,,,,,
figure_2b_subject,human,,,,,,,,,,44,C-D,1,,,,,
figure_2b_subject,human,,,,,,,,,,45,C-D,1,,,,,
figure_2b_subject,human,,,,,,,,,,46,C-D,0.8,,,,,
figure_2b_subject,human,,,,,,,,,,47,C-D,0.3,,,,,
figure_2b_subject,human,,,,,,,,,,48,C-D,1,,,,,
figure_2b_subject,human,,,,,,,,,,49,C-D,0,,,,,
figure_2b_subject,human,,,,,,,,,,51,C-D,1,,,,,
figure_2b_subject,human,,,,,,,,,,52,C-D,0.6,,,,,
figure_2b_subject,human,,,,,,,,,,53,C-D,1,,,,,
figure_2b_subject,human,,,,,,,,,,54,C-D,0,,,,,
figure_2b_subject,human,,,,,,,,,,55,C-D,1,,,,,
figure_2b_subject,human,,,,,,,,,,57,C-D,0,,,,,
figure_2b_subject,human,,,,,,,,,,58,C-D,1,,,,,
figure_2b_subject,human,,,,,,,,,,60,C-D,1,,,,,
figure_2b_subject,human,,,,,,,,,,61,C-D,0,,,,,
figure_2b_subject,human,,,,,,,,,,63,C-D,1,,,,,
figure_2b_subject,human,,,,,,,,,,64,C-D,0.9,,,,,
figure_2b_subject,human,,,,,,,,,,65,C-D,0,,,,,
figure_2b_subject,human,,,,,,,,,,66,C-D,0.1,,,,,
figure_2b_subject,human,,,,,,,,,,67,C-D,0.1,,,,,
figure_2b_subject,human,,,,,,,,,,68,C-D,1,,,,,
figure_2b_subject,human,,,,,,,,,,69,C-D,0.8,,,,,
figure_2b_subject,human,,,,,,,,,,71,C-D,0.4,,,,,
figure_2b_subject,human,,,,,,,,,,72,C-D,0,,,,,
figure_2b_subject,human,,,,,,,,,,73,C-D,0.9,,,,,
figure_2b_subject,human,,,,,,,,,,74,C-D,0.8,,,,,
figure_2b_subject,human,,,,,,,,,,75,C-D,1,,,,,
figure_2b_subject,human,,,,,,,,,,76,C-D,0.7,,,,,
figure_2b_subject,human,,,,,,,,,,77,C-D,1,,,,,
figure_2b_subject,2104,2104,,,,,,,,,1,C-D,0,,,,,
figure_2b_subject,2104,2104,,,,,,,,,2,C-D,1,,,,,
figure_2b_subject,2104,2104,,,,,,,,,3,C-D,0.4,,,,,
figure_2b_subject,2104,2104,,,,,,,,,4,C-D,0.8,,,,,
figure_2b_subject,2104,2104,,,,,,,,,5,C-D,0.5,,,,,
figure_2b_subject,2104,2104,,,,,,,,,6,C-D,0,,,,,
figure_2b_subject,2104,2104,,,,,,,,,7,C-D,0.4,,,,,
figure_2b_subject,2104,2104,,,,,,,,,8,C-D,1,,,,,
figure_2b_subject,2104,2104,,,,,,,,,9,C-D,0,,,,,
figure_2b_subject,2104,2104,,,,,,,,,10,C-D,1,,,,,
figure_2b_subject,2104,2104,,,,,,,,,11,C-D,1,,,,,
figure_2b_subject,2104,2104,,,,,,,,,12,C-D,1,,,,,
figure_2b_subject,2104,2104,,,,,,,,,13,C-D,1,,,,,
figure_2b_subject,2104,2104,,,,,,,,,14,C-D,0.1,,,,,
figure_2b_subject,2104,2104,,,,,,,,,15,C-D,0.5,,,,,
figure_2b_subject,2104,2104,,,,,,,,,16,C-D,0.3,,,,,
figure_2b_subject,2104,2104,,,,,,,,,17,C-D,0,,,,,
figure_2b_subject,2104,2104,,,,,,,,,18,C-D,0.2,,,,,
figure_2b_subject,2104,2104,,,,,,,,,19,C-D,0.9,,,,,
figure_2b_subject,2104,2104,,,,,,,,,20,C-D,1,,,,,
figure_2b_subject,2104,2104,,,,,,,,,21,C-D,0.5,,,,,
figure_2b_subject,2104,2104,,,,,,,,,22,C-D,0.1,,,,,
figure_2b_subject,2104,2104,,,,,,,,,24,C-D,1,,,,,
figure_2b_subject,2104,2104,,,,,,,,,26,C-D,1,,,,,
figure_2b_subject,2104,2104,,,,,,,,,27,C-D,0,,,,,
figure_2b_subject,2104,2104,,,,,,,,,28,C-D,0,,,,,
figure_2b_subject,2104,2104,,,,,,,,,29,C-D,0.6,,,,,
figure_2b_subject,2104,2104,,,,,,,,,30,C-D,0.7,,,,,
figure_2b_subject,2104,2104,,,,,,,,,31,C-D,1,,,,,
figure_2b_subject,2104,2104,,,,,,,,,32,C-D,0.7,,,,,
figure_2b_subject,2104,2104,,,,,,,,,33,C-D,1,,,,,
figure_2b_subject,2104,2104,,,,,,,,,34,C-D,0.5,,,,,
figure_2b_subject,2104,2104,,,,,,,,,36,C-D,0,,,,,
figure_2b_subject,2104,2104,,,,,,,,,37,C-D,0.1,,,,,
figure_2b_subject,2104,2104,,,,,,,,,38,C-D,0.8,,,,,
figure_2b_subject,2104,2104,,,,,,,,,40,C-D,1,,,,,
figure_2b_subject,2104,2104,,,,,,,,,41,C-D,0.6,,,,,
figure_2b_subject,2104,2104,,,,,,,,,42,C-D,0.1,,,,,
figure_2b_subject,2104,2104,,,,,,,,,43,C-D,1,,,,,
figure_2b_subject,2104,2104,,,,,,,,,44,C-D,0.3,,,,,
figure_2b_subject,2104,2104,,,,,,,,,45,C-D,1,,,,,
figure_2b_subject,2104,2104,,,,,,,,,46,C-D,1,,,,,
figure_2b_subject,2104,2104,,,,,,,,,47,C-D,0.4,,,,,
figure_2b_subject,2104,2104,,,,,,,,,48,C-D,1,,,,,
figure_2b_subject,2104,2104,,,,,,,,,49,C-D,0.4,,,,,
figure_2b_subject,2104,2104,,,,,,,,,50,C-D,0.7,,,,,
figure_2b_subject,2104,2104,,,,,,,,,51,C-D,0.1,,,,,
figure_2b_subject,2104,2104,,,,,,,,,52,C-D,0,,,,,
figure_2b_subject,2104,2104,,,,,,,,,53,C-D,0.5,,,,,
figure_2b_subject,2104,2104,,,,,,,,,54,C-D,1,,,,,
figure_2b_subject,2104,2104,,,,,,,,,55,C-D,1,,,,,
figure_2b_subject,2104,2104,,,,,,,,,56,C-D,0,,,,,
figure_2b_subject,2104,2104,,,,,,,,,57,C-D,0.9,,,,,
figure_2b_subject,2104,2104,,,,,,,,,59,C-D,0.1,,,,,
figure_2b_subject,2104,2104,,,,,,,,,60,C-D,0,,,,,
figure_2b_subject,2104,2104,,,,,,,,,61,C-D,0.3,,,,,
figure_2b_subject,2104,2104,,,,,,,,,62,C-D,0,,,,,
figure_2b_subject,2104,2104,,,,,,,,,63,C-D,0,,,,,
figure_2b_subject,2104,2104,,,,,,,,,64,C-D,0.1,,,,,
figure_2b_subject,2104,2104,,,,,,,,,65,C-D,0.6,,,,,
figure_2b_subject,2104,2104,,,,,,,,,67,C-D,1,,,,,
figure_2b_subject,2104,2104,,,,,,,,,68,C-D,1,,,,,
figure_2b_subject,2104,2104,,,,,,,,,69,C-D,1,,,,,
figure_2b_subject,2104,2104,,,,,,,,,70,C-D,1,,,,,
figure_2b_subject,2104,2104,,,,,,,,,71,C-D,0,,,,,
figure_2b_subject,2104,2104,,,,,,,,,72,C-D,0.5,,,,,
figure_2b_subject,2104,2104,,,,,,,,,73,C-D,0.6,,,,,
figure_2b_subject,2104,2104,,,,,,,,,74,C-D,1,,,,,
figure_2b_subject,2104,2104,,,,,,,,,75,C-D,0,,,,,
figure_2b_subject,2104,2104,,,,,,,,,76,C-D,1,,,,,
figure_2b_subject,2104,2104,,,,,,,,,77,C-D,0,,,,,
figure_2b_subject,2105,2105,,,,,,,,,1,C-D,0.1,,,,,
figure_2b_subject,2105,2105,,,,,,,,,2,C-D,1,,,,,
figure_2b_subject,2105,2105,,,,,,,,,3,C-D,0.6,,,,,
figure_2b_subject,2105,2105,,,,,,,,,4,C-D,1,,,,,
figure_2b_subject,2105,2105,,,,,,,,,5,C-D,0.4,,,,,
figure_2b_subject,2105,2105,,,,,,,,,6,C-D,0,,,,,
figure_2b_subject,2105,2105,,,,,,,,,7,C-D,0.2,,,,,
figure_2b_subject,2105,2105,,,,,,,,,8,C-D,1,,,,,
figure_2b_subject,2105,2105,,,,,,,,,9,C-D,0,,,,,
figure_2b_subject,2105,2105,,,,,,,,,10,C-D,1,,,,,
figure_2b_subject,2105,2105,,,,,,,,,11,C-D,1,,,,,
figure_2b_subject,2105,2105,,,,,,,,,12,C-D,1,,,,,
figure_2b_subject,2105,2105,,,,,,,,,13,C-D,1,,,,,
figure_2b_subject,2105,2105,,,,,,,,,14,C-D,0.1,,,,,
figure_2b_subject,2105,2105,,,,,,,,,16,C-D,0.8,,,,,
figure_2b_subject,2105,2105,,,,,,,,,17,C-D,0,,,,,
figure_2b_subject,2105,2105,,,,,,,,,18,C-D,0.7,,,,,
figure_2b_subject,2105,2105,,,,,,,,,19,C-D,0.9,,,,,
figure_2b_subject,2105,2105,,,,,,,,,20,C-D,1,,,,,
figure_2b_subject,2105,2105,,,,,,,,,21,C-D,0.3,,,,,
figure_2b_subject,2105,2105,,,,,,,,,22,C-D,0.1,,,,,
figure_2b_subject,2105,2105,,,,,,,,,23,C-D,1,,,,,
figure_2b_subject,2105,2105,,,,,,,,,24,C-D,1,,,,,
figure_2b_subject,2105,2105,,,,,,,,,26,C-D,1,,,,,
figure_2b_subject,2105,2105,,,,,,,,,27,C-D,0.2,,,,,
figure_2b_subject,2105,2105,,,,,,,,,28,C-D,0,,,,,
figure_2b_subject,2105,2105,,,,,,,,,29,C-D,0,,,,,
figure_2b_subject,2105,2105,,,,,,,,,30,C-D,0.2,,,,,
figure_2b_subject,2105,2105,,,,,,,,,31,C-D,1,,,,,
figure_2b_subject,2105,2105,,,,,,,,,32,C-D,0.5,,,,,
figure_2b_subject,2105,2105,,,,,,,,,33,C-D,1,,,,,
figure_2b_subject,2105,2105,,,,,,,,,34,C-D,0.9,,,,,
figure_2b_subject,2105,2105,,,,,,,,,35,C-D,0.9,,,,,
figure_2b_subject,2105,2105,,,,,,,,,36,C-D,0,,,,,
figure_2b_subject,2105,2105,,,,,,,,,37,C-D,0.5,,,,,
figure_2b_subject,2105,2105,,,,,,,,,38,C-D,0.8,,,,,
figure_2b_subject,2105,2105,,,,,,,,,40,C-D,1,,,,,
figure_2b_subject,2105,2105,,,,,,,,,41,C-D,0.6,,,,,
figure_2b_subject,2105,2105,,,,,,,,,42,C-D,0.1,,,,,
figure_2b_subject,2105,2105,,,,,,,,,43,C-D,1,,,,,
figure_2b_subject,2105,2105,,,,,,,,,44,C-D,0.3,,,,,
figure_2b_subject,2105,2105,,,,,,,,,45,C-D,1,,,,,
figure_2b_subject,2105,2105,,,,,,,,,46,C-D,1,,,,,
figure_2b_subject,2105,2105,,,,,,,,,47,C-D,0.2,,,,,
figure_2b_subject,2105,2105,,,,,,,,,48,C-D,1,,,,,
figure_2b_subject,2105,2105,,,,,,,,,49,C-D,1,,,,,
figure_2b_subject,2105,2105,,,,,,,,,50,C-D,0.2,,,,,
figure_2b_subject,2105,2105,,,,,,,,,51,C-D,0.1,,,,,
figure_2b_subject,2105,2105,,,,,,,,,52,C-D,0,,,,,
figure_2b_subject,2105,2105,,,,,,,,,53,C-D,0.5,,,,,
figure_2b_subject,2105,2105,,,,,,,,,54,C-D,1,,,,,
figure_2b_subject,2105,2105,,,,,,,,,55,C-D,1,,,,,
figure_2b_subject,2105,2105,,,,,,,,,56,C-D,0,,,,,
figure_2b_subject,2105,2105,,,,,,,,,57,C-D,0.9,,,,,
figure_2b_subject,2105,2105,,,,,,,,,59,C-D,0.4,,,,,
figure_2b_subject,2105,2105,,,,,,,,,60,C-D,0,,,,,
figure_2b_subject,2105,2105,,,,,,,,,61,C-D,0,,,,,
figure_2b_subject,2105,2105,,,,,,,,,62,C-D,0,,,,,
figure_2b_subject,2105,2105,,,,,,,,,63,C-D,0,,,,,
figure_2b_subject,2105,2105,,,,,,,,,64,C-D,0.2,,,,,
figure_2b_subject,2105,2105,,,,,,,,,65,C-D,0.5,,,,,
figure_2b_subject,2105,2105,,,,,,,,,66,C-D,0.4,,,,,
figure_2b_subject,2105,2105,,,,,,,,,67,C-D,1,,,,,
figure_2b_subject,2105,2105,,,,,,,,,68,C-D,1,,,,,
figure_2b_subject,2105,2105,,,,,,,,,69,C-D,1,,,,,
figure_2b_subject,2105,2105,,,,,,,,,70,C-D,1,,,,,
figure_2b_subject,2105,2105,,,,,,,,,71,C-D,0.2,,,,,
figure_2b_subject,2105,2105,,,,,,,,,72,C-D,0.4,,,,,
figure_2b_subject,2105,2105,,,,,,,,,73,C-D,0.6,,,,,
figure_2b_subject,2105,2105,,,,,,,,,74,C-D,1,,,,,
figure_2b_subject,2105,2105,,,,,,,,,75,C-D,0,,,,,
figure_2b_subject,2105,2105,,,,,,,,,76,C-D,1,,,,,
figure_2b_subject,2105,2105,,,,,,,,,77,C-D,0,,,,,
stable_error,human,,,,,,,,,,,,,60,0.971014492754,0.927536231884,1,69
stable_error,human,,,,,,,,,,,,,70,0.95652173913,0.898550724638,1,69
stable_error,human,,,,,,,,,,,,,80,0.913043478261,0.840579710145,0.971014492754,69
stable_error,human,,,,,,,,,,,,,90,0.884057971014,0.811594202899,0.95652173913,69
stable_error,human,,,,,,,,,,,,,100,0.782608695652,0.68115942029,0.869565217391,69
stable_error,2104,2104,,,,,,,,,,,,60,1,1,1,71
stable_error,2104,2104,,,,,,,,,,,,70,0.971830985915,0.929577464789,1,71
stable_error,2104,2104,,,,,,,,,,,,80,0.943661971831,0.887323943662,0.985915492958,71
stable_error,2104,2104,,,,,,,,,,,,90,0.929577464789,0.859154929577,0.985915492958,71
stable_error,2104,2104,,,,,,,,,,,,100,0.830985915493,0.732394366197,0.915492957746,71
stable_error,2105,2105,,,,,,,,,,,,60,0.986301369863,0.958904109589,1,73
stable_error,2105,2105,,,,,,,,,,,,70,0.972602739726,0.931506849315,1,73
stable_error,2105,2105,,,,,,,,,,,,80,0.945205479452,0.890410958904,0.986301369863,73
stable_error,2105,2105,,,,,,,,,,,,90,0.876712328767,0.794520547945,0.945205479452,73
stable_error,2105,2105,,,,,,,,,,,,100,0.780821917808,0.684931506849,0.876712328767,73
